message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

2516	oji	from		appearance	bat	navigation	1328253314	elections 2012 : polls visualization	249	151

2517	oji	to		correspondancies	differencies	ensad	1328262741	Re: elections 2012 : polls visualization	249	316

2518	oji	to		mouse	sorted	stable	1328265823	Re: elections 2012 : polls visualization	249	66

2521	oji	to		difficult	impossible	friend	1328305583	Re: elections 2012 : polls visualization	249	36

4210	oji	from		leader	convenient	orsay	1330357945	Better life index data?	453	88

4209	oji	to		super	interested	everything	1330358368	Re: Better life index data?	453	29

4208	oji	from		you	thanks	lot	1330359074	Re: Better life index data?	454	8

t1394	oji	to	mention	will	time	first	1350694045		t1984	16

