message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

7544	oqW	to		fired	household	wisdom	1334594457	advice sought	800	114

7540	oqW	from		basics	trend	hitting	1334695422	RE: advice sought	800	119

7541	oqW	to		broad	freelancers	sit	1334769634	Re: advice sought	800	159

7543	oqW	from		ball	employee	freelancers	1334776738	RE: advice sought	800	377

7542	oqW	to		time	see	thanks	1334787313	Re: advice sought	800	14

9456	oqW	to		afterthought	blier	conscious	1337098407	Better life index returns	1025	305

9455	oqW	from		adds	gender	launches	1337107369	RE: Better life index returns	1025	81

9453	oqW	to		perks	flowing	formally	1337113518	RE: Better life index returns	1025	162

9634	oqW	from		interested	krees	needs	1337370220	project?	1040	59

9635	oqW	to		pay	khan	academy	1337370682	Re: project?	1040	51

9630	oqW	from		wait	kim	wow	1337370901	RE: project?	1040	35

9633	oqW	to		realize	videos	collaborating	1337371514	Re: project?	1040	67

9632	oqW	from		details	below	glad	1337372104	RE: project?	1040	34

10313	oqW	to		burning	interim	superb	1338324087	Re: Kim Rees (@krees) has sent you a direct message on Twitter!	1119	119

15121	oqW	to		did	pretty	together	1343931894	mission accomplished	1672	28

15122	oqW	from		you	for	but	1343935809	RE: mission accomplished	1672	12

15123	oqW	to		ideally	keeping	allowed	1343936294	Re: mission accomplished	1672	65

16020	oqW	to		existent	moving	leads	1345225816	me moving	1792	90

20130	oqW	to					1350548447	I am not making this up	2234	0

20206	oqW	from					1350607937		2246	0

22808	oqW	to		for	best	today	1353974610	happy birthday!	2489	4

22807	oqW	from					1353975244	Re: happy birthday!	2489	0

24235	oqW	to		exact	guns	homicide	1355791952	gun violence etc	2596	103

24238	oqW	from		best	thanks	did	1355966663	RE: gun violence etc	2596	17

24239	oqW	to		police	agencies	florida	1355993101	Re: gun violence etc	2596	55

24236	oqW	from		watching	pitch	expressed	1356000526	RE: gun violence etc	2596	36

24237	oqW	to		you	know	when	1356008358	Re: gun violence etc	2596	6

t753	oqW	to	mention	and	you	have	1328146536		t144	17

t604	oqW	to	mention	you	that	are	1331687422		t369	12

t619	oqW	to	mention	looking	meet	forward	1331773165		t379	5

t625	oqW	to	mention	around	krees	party	1335749185		t702	10

t603	oqW	to	mention	btw	went	krees	1335749756		t703	5

t1475	oqW	to	mention	interesting	process	via	1336697002		t797	7

t1229	oqW	to	mention	tomorrow	forward	away	1337040243		t824	19

t1113	oqW	to	mention	for	http	post	1337129988		t835	2

t1478	oqW	to	mention	http	better	oecd	1337737083		t875	4

t621	oqW	to	mention	thanks	krees	kim	1337737099		t876	13

t617	oqW	to	mention	what	everything	tell	1338339307		t943	5

t612	oqW	to	mention	would	had	even	1338341355		t946	5

t607	oqW	to	mention	that	have	are	1338425999		t956	14

t611	oqW	to	mention	this	about	get	1338425725		t959	11

t615	oqW	to	mention	who	look	krees	1338427694		t960	5

t225	oqW	to	mention	before	send	tell	1338858074		t981	21

t599	oqW	to	mention	krees	success	sunahsuh	1338941699		t988	18

t597	oqW	to	mention	who	stefaner	job	1341360494		t1267	4

t622	oqW	to	mention	into	next	before	1341450929		t1287	17

t1421	oqW	to	mention	the	and	krees	1341537922		t1312	14

t608	oqW	to	mention	you	like	krees	1341619961		t1347	9

t595	oqW	to	mention	too	hope	moebio	1342228102		t1420	14

t618	oqW	to	mention	the	data	might	1342571234		t1438	9

t470	oqW	from	mention	good	jcukier	point	1342656269		t1438	14

t614	oqW	to	mention	there	other	any	1342659015		t1447	8

t407	oqW	from	mention	have	will	good	1343092818		t1501	14

t616	oqW	to	mention	the	you	can	1343092957		t1501	9

t483	oqW	from	mention	there	was	know	1343088997		t1501	10

t525	oqW	from	mention	krees	minute	chat	1343175397		t1501	15

t589	oqW	to	mention	until	krees	opinion	1343175513		t1501	19

t591	oqW	to	mention	make	want	something	1343695192		t1501	12

t406	oqW	from	mention	not	would	jcukier	1343693463		t1501	4

t1480	oqW	to	mention	our	through	panel	1345079576		t1594	16

t623	oqW	to	mention	kind	tableau	conference	1345249053		t1603	18

t363	oqW	from	mention	you	jcukier	miss	1345249867		t1603	7

t600	oqW	to	mention	also	visweek	bit	1345250013		t1603	9

t539	oqW	from	mention	you	are	when	1345250088		t1603	17

t1476	oqW	to	mention	with	our	project	1346979783		t1672	10

t609	oqW	to	mention	charts	krees	global	1347062905		t1673	6

t320	oqW	from	mention	the	for	all	1347063258		t1681	8

t620	oqW	to	mention	but	thought	krees	1347326876		t1688	14

t605	oqW	to	mention	you	are	there	1350175327		t1830	11

t542	oqW	from	mention	jcukier	won	until	1350175428		t1830	16

t606	oqW	to	mention	can	would	one	1350174757		t1830	5

t484	oqW	from	mention	jcukier	mean	until	1350175459		t1831	18

t610	oqW	to	mention	the	haven	seen	1350436264		t1867	14

t408	oqW	from	mention	jcukier	krees	sir	1350436417		t1867	3

t601	oqW	to	mention	let	before	put	1350436597		t1869	18

t543	oqW	from	mention	might	already	able	1350436713		t1869	5

t602	oqW	to	mention	the	and	evaluation	1350520706		t1872	5

t613	oqW	to	mention	they	get	them	1350523405		t1882	4

t522	oqW	from	mention	might	through	extension	1350523769		t1882	15

t365	oqW	from	mention	your	jcukier	over	1350523776		t1882	16

t596	oqW	from	mention	med	proc	refs	1350523938		t1882	11

t302	oqW	to	mention	that	like	sounds	1350524129		t1882	2

t399	oqW	from	mention	was	jcukier	thought	1350521824		t1882	8

t1639	oqW	to	mention	the	there	krees	1350608125		t1908	16

t911	oqW	from	mention	the	there	jcukier	1350608111		t1909	3

t624	oqW	to	mention	say	said	big	1350608104		t1910	18

t1291	oqW	to	mention	now	krees	wondering	1350608339		t1913	17

t1630	oqW	to	mention	panel	krees	congrats	1350610559		t1926	16

t473	oqW	from	mention	see	thanks	jcukier	1350606727		t1926	14

t1608	oqW	from	mention	jcukier	place	datatelling	1350608444		t1929	9

t1613	oqW	from	mention	panel	krees	congrats	1350604893		t1932	18

