message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

1361	qLN	from		montrouge	télé	tspri	1327400684	RE: la raison pour laquelle je te mets en relation avec captain dash...	148	91

1592	qLN	from		montparnasse	montrouge	tspri	1327416671	RE: demain midi	149	75

1593	qLN	from		directrice	guénalle	département	1327485814	RE: demain midi	149	54

1685	qLN	from		rangez	renforcement	renforcés	1327500437	quelques oppositions 2 à 2	160	571

3731	qLN	from		stratégies	dormoy	gault	1329673754	TR: 	386	40

6003	qLN	from					1332516489	=?utf-8?B?UmU6IGV0IMOnYSBjJ2VzdCB1biBtw6lnYS10b3A=	633	0

6002	qLN	from		montrouge	tns	sofres	1332529861	=?windows-1258?Q?RE: et ça c'est un méga-top	634	65

6122	qLN	from		message	moment	bonjour	1332757076	Réponse automatique d'absence du bureau=A0: et ça  c'est un méga-top	642	14

7195	qLN	from		message	moment	bonjour	1334153376	Réponse automatique d'absence du bureau=A0: facebook  a dit:	762	14

8152	qLN	from		mentionner	électorat	appartiennent	1335373157	TR: Questions de valeurs par électorat	870	162

8206	qLN	from		europ	galzi	manipules	1335433818	Fichiers SPSS et STATA ETUDE JOUR DU VOTE	876	141

8150	qLN	from		explorer	firefox	totaux	1335449470	RE: Questions de valeurs par électorat	880	121

8576	qLN	from		message	moment	bonjour	1335953071	Réponse automatique d'absence du bureau=A0: j'en a i fait d'autres	923	14

8787	qLN	from		tns	sofres	résultats	1336146439		947	61

8788	qLN	from		trouvée	émission	iframe	1336395333	RE: 	958	297

9351	qLN	from		demain	bonjour	matin	1337002820	Réponse automatique d'absence du bureau=A0: projet a vec le découpage de paris en bureaux de votes	1003	14

10926	qLN	from		bravo	formule	élection	1339060404	RE: chances des députés de droite ou de gauche par c irconscription	1197	99

10961	qLN	from		département	marx	stratégies	1339060637		1198	44

10963	qLN	from					1339224408	Re:	1206	0

12314	qLN	from					1340623986	Re: david mccandless	1322	0

12315	qLN	from		iakcqkcqkcud	iakdqonckdwluycor		1340625107	Re: david mccandless	1324	2

12863	qLN	from		directrice	département	marx	1341242680		1384	44

12860	qLN	from		stratégies	dormoy	gault	1341244787	RE: 	1386	62

12957	qLN	from		dormoy	gault	montrouge	1341334903	RE: http://www.consumerbarometer.com/	1398	48

12859	qLN	from					1341589928	Re:	1440	0

