message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

49	qox	from		chargé	secrétariat	agendas	1324548357	RE: RDV à monter/permanents CNN / Etalab	3	51

47	qox	to		vendredi	mardi	amis	1324553768	Re: RDV à monter=2Fpermanents CNN =2F Etalab	3	17

42	qox	from		prévu	rencontre	agenda	1325615615	RE: RDV à monter/permanents CNN / Etalab	20	37

53	qox	to		vendredi	année	mardi	1325621750	Re: RDV à monter=2Fpermanents CNN =2F Etalab	20	22

41	qox	to		est	bien	fait	1325625084	Re: RDV à monter=2Fpermanents CNN =2F Etalab	20	10

48	qox	from		nous	tous	merci	1325688917	RE: RDV à monter/permanents CNN / Etalab	34	14

40	qox	to		bien	vous	mehdi	1325689468	Re: RDV à monter=2Fpermanents CNN =2F Etalab	34	4

44	qox	from		ségur	alexandre	secrétariat	1325780105	RE: RDV à monter/permanents CNN / Etalab	45	94

