message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

329	r1T	to		participant	souhaitant	joyeuses	1325699420	CNN OD : Prochaine réunion jeudi 5 janvier 2012 de  18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Paris	37	271

333	r1T	to		cnnod	tph	[groupe	1325783038	Fwd: CNN OD : Prochaine réunion jeudi 5 janvier 201 2 de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Par is	37	455

1033	r1T	to		aura	réunion	groupe	1326557227	CNN OD : Prochaine réunion jeudi 19 janvier 2012 de  18:30 à 20:00 chez Notre Famille	101	21

1036	r1T	to		invite	progress	dernières	1326902143	Re: CNN OD : Prochaine réunion jeudi 19 janvier 201 2 de 18:30 à 20:00 chez Notre Famille	101	52

1114	r1T	to		créées	escomptés	précédentes	1326728654	open data - partie II	106	121

1328	r1T	to		lexisnexis	nepote	siliconsentier	1326990635	Fwd: CNN OD : Codes audioconf pour la prochaine réu nion jeudi 19 janvier 2012 de 18:30 à 20:00 chez Notre Fami lle	121	179

1536	r1T	to		publié	porter	prêts	1327333796	=5BCNN OD=5D fin de la rédaction du rapport	144	158

1537	r1T	to		collecter	contribs	compilé	1327939835	Re: =5BCNN OD=5D fin de la rédaction du rapport	144	132

2341	r1T	to		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

2539	r1T	from		cnnum	présence	publication	1328280698	Re: Rdv=2FOpen Data du 14=2F02 à 12h	253	18

4195	r1T	to		dont	besoin	quelque	1330348094	re - open data	449	25

6114	r1T	to		demandent	naudet	séverin	1332755144	[CNN OD] bump!	640	93

t1525	r1T	to	mention	site	aime	journaliste	1327971468		t141	11

t792	r1T	to	mention	http	courant	nicolasvoisin	1331600944		t363	20

t1526	r1T	to	mention	net	propositions	pistes	1331858017		t385	13

t791	r1T	to	mention	autre	http	laisse	1333067238		t486	18

t1492	r1T	to	mention	laguirlande	carte	présidentielle	1333413423		t502	16

t1524	r1T	to	mention	came	old	pizza	1333501639		t518	14

t1527	r1T	to	mention	tes	numérique	recherche	1337215214		t839	13

t901	r1T	to	mention	que	est	information	1337215488		t841	6

t790	r1T	to	mention	data	open	espère	1338341181		t930	4

t909	r1T	to	mention	numérique	campagne	économiques	1331600763		t2398	15

