message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

273	rRM	to		saw	tulp	visualizer	1325673926	SEE #7	28	32

277	rRM	from		domination	owner	clashes	1325674514	Re: SEE #7	29	140

281	rRM	to		andy	happy	willem	1325674679	Re: SEE #7	29	25

290	rRM	to		zürich	freiestrasse	excel	1325675191	Re: SEE #7	29	91

280	rRM	to		address	wish	speaking	1325682392	Re: SEE #7	29	49

274	rRM	to		yes	year	jan	1325682834	Re: SEE #7	29	19

279	rRM	from		monitor	icons	imminent	1325675475	Re: SEE #7	30	60

278	rRM	from		www	andy	web	1325683148	Re: SEE #7	32	20

287	rRM	to		board	scene	wiesbaden	1325687780	Re: SEE #7	32	56

285	rRM	from		kirk	visualisingdata	visualising	1325691876	Re: SEE #7	35	30

284	rRM	to		hire	confirmed	refer	1325694035	Re: SEE #7	35	127

282	rRM	to		really	don	too	1325709183	Re: SEE #7	35	8

286	rRM	to		excitement	grab	officially	1325719225	Re: SEE #7	35	121

289	rRM	to		barcelona	expectancy	funded	1325725703	Re: SEE #7	35	139

275	rRM	to		funding	announced	speakers	1325750522	Re: SEE #7	35	97

283	rRM	from		themed	exchanges	echoing	1325751119	Re: SEE #7	41	322

288	rRM	to		address	knowledge	london	1325760712	Re: SEE #7	41	45

276	rRM	to		conferences	invited	practice	1325765749	Re: SEE #7	41	42

422	rRM	from		nathan	thorp	reaction	1325790298	Flowingdata	41	66

420	rRM	to		nathan	weird	fee	1325792098	Re: Flowingdata	41	65

426	rRM	to		familiar	reputation	weak	1325804827	Re: Flowingdata	41	127

427	rRM	to		old	model	paid	1326141866	Re: Flowingdata	41	39

416	rRM	to					1326143286	Re: Flowingdata	41	0

421	rRM	to		allow	commercial	invested	1326185438	Re: Flowingdata	41	76

419	rRM	to		again	money	fun	1326191551	Re: Flowingdata	41	29

425	rRM	to		for	one	get	1326193789	Re: Flowingdata	41	6

424	rRM	to		personally	nathan	sign	1326198883	Re: Flowingdata	41	68

404	rRM	from		was	something	interesting	1325782315		47	10

423	rRM	from		occasional	act	sustainability	1326200817	Re: Flowingdata	74	78

417	rRM	to		met	ask	weeks	1326210983	Re: Flowingdata	74	34

418	rRM	to		you	know	moritz	1326220976	Re: Flowingdata	74	13

839	rRM	to		jan	willem	does	1326309908	Resonate	85	15

