message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

27	rwK	from		bien	mehdi	mercredi	1323872143	Re: Dej Projet - Présidentielle	2	5

943	rwK	from		vendredi	claire	welcome	1326461324	Re: Réu Pacte du Numérique	97	22

3226	rwK	from		élus	voulons	etablir	1328963767	Re: Et de Un - Pacte du Numérique	335	289

3483	rwK	from		top	pierre	résumé	1329315529	Re:	364	3

3645	rwK	from		clairement	marquer	officiellement	1329633599	Re: CR - Pacte du Numérique	384	76

3650	rwK	from		ideose	organiser	élection	1329805169	Re: CR - Pacte du Numérique	384	115

3897	rwK	from		bloch	empêchent	formulations	1329982941	Re: Re : Doc - Version finale	416	220

4693	rwK	from		christian	article	propositions	1330953847	Re: Tribune commune URGENT	515	45

4689	rwK	from		durable	individuels	potentiels	1331037534	Re: Re : Tribune commune URGENT	524	90

4932	rwK	from		politiques	publication	chargée	1331985465	Re: Re : : Tribune commune URGENT	583	52

5638	rwK	from		répond	sors	documents	1332162971	Re: [pacte du numérique=5DFYI: aujourd'hu i à 17h30 =40evajoly répond aux questions  sur le numérique sur twitter via Fred  Neau.	591	52

6464	rwK	from					1333014901	[ Présidentielle 2012 =5D Les propositi ons "Numériques" des candidats en une i mage	706	0

t1529	rwK	to	mention	twitter	pierre	guillou	1325900407		t25	10

t950	rwK	to	mention	faudra	votes	2nd	1326415889		t67	1

t1415	rwK	to	mention	image	candidats	propositions	1333067441		t483	9

