message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

205	s9W	to		dataviz	bayrou	aider	1325604764	dataviz + modem	17	40

824	s9W	from		rencontrer	grandes	dataviz	1326307097	mise en relation	84	49

827	s9W	to		occasion	etalab	cordialement	1326311147	Re: mise en relation	84	29

826	s9W	to		donc	voir	ensemble	1326466493	Re: mise en relation	84	15

831	s9W	from		dispo	déjeuner	mise	1326466951	RE: mise en relation	84	46

825	s9W	to		mais	ça	moi	1326469239	Re: mise en relation	84	12

830	s9W	to		pour	moi		1326470423	Re: mise en relation	84	2

1113	s9W	to		faire	com	mal	1326728256	contact Jen Stirrup	105	13

1346	s9W	from		les	des	sur	1326994607	dataviz bayrou	123	11

1345	s9W	to		oui			1326994995	Re: dataviz bayrou	123	1

1341	s9W	to		déclarent	décrivez	pions	1326999000	Re: dataviz bayrou	123	342

1343	s9W	from		déclarent	décrivez	pions	1326999882	RE: dataviz bayrou	123	366

1344	s9W	to		dispo	regarde	discours	1327003575	Re: dataviz bayrou	123	27

1347	s9W	from		yes			1327004488	Re: dataviz bayrou	123	1

1342	s9W	to		déficits	rebondir	grade	1327004755	Re: dataviz bayrou	123	81

1352	s9W	from		pour	faire	nous	1326999304	dataviz	124	10

1362	s9W	to		message	mail	demain	1327416330	Fwd: la raison pour laquelle je te mets en relation avec captain dash...	148	14

1364	s9W	from		laquelle	mets	guénalle	1327416413	RE: la raison pour laquelle je te mets en relation avec captain dash...	148	43

1597	s9W	to		guénalle	dispo	endroit	1327416594	demain midi	149	29

1594	s9W	from		parfait	habitude	guénalle	1327416684	RE: demain midi	149	51

1596	s9W	to		pour	heure	laisse	1327417079	Re: demain midi	149	5

1598	s9W	to		alors	fois	après	1327485758	Re: demain midi	149	14

1595	s9W	from		stratégies	dormoy	montrouge	1327487753	RE: demain midi	149	82

1621	s9W	to		voter	principalement	tank	1327430333	vis bayrou	152	72

1622	s9W	from		fermés	révèle	sondage	1327475381	RE: vis bayrou	152	108

1623	s9W	to		évident	max	presse	1327475678	RE: vis bayrou	152	47

1711	s9W	from		peux	hello	merci	1327509503	cv	167	5

1710	s9W	to		par	parce	peux	1327509838	Re: cv	167	15

1796	s9W	from		illustrations	prie	béatrice	1327569993	FW: Besoin d'Air - plan général avec emplacement d es illustrations - version validée LP	173	59

1781	s9W	to		stratégique	suédois	synthétisé	1327582882	Fwd: Données des graphiques =2B exposé des motifs	175	1179

1788	s9W	from		stratégique	suédois	synthétisé	1327593097	RE: Données des graphiques =2B exposé des motifs	175	1203

1786	s9W	to		croquis	déclinés	habillons	1327617979	Re: Données des graphiques =2B exposé des motifs	175	421

1783	s9W	from		totales	équivalence	travailleurs	1327684772	FW: Données des graphiques =2B exposé des motifs	175	1222

1778	s9W	to		est	une	oui	1327685050	Re: FW: Données des graphiques =2B exposé des motifs	175	5

1822	s9W	from		bien	choses	hello	1327598622	dataviz	179	5

1824	s9W	to		engagé	décide	méchant	1327599407	Re: dataviz	179	67

1823	s9W	from		méchant	émissions	automatiquement	1327601223	RE: dataviz	179	94

1827	s9W	to		les	sur	plus	1327601931	Re: dataviz	179	11

1826	s9W	from		vite	walther	janvier	1327602060	RE: dataviz	179	40

1825	s9W	to		envoyer	regarde	intégrer	1327602792	RE: dataviz	179	22

1828	s9W	from		copie	intégrer	courbe	1327603960	RE: dataviz	179	41

1829	s9W	to		qqch	puisse	viens	1327599495	Fwd: Tr : Observatoire de l'Investissement de Trendeo	180	19

1832	s9W	from		vaut	pièce	attendre	1327601263	RE: Tr : Observatoire de l'Investissement de Trendeo	180	39

1830	s9W	to		seule	solution	position	1327601818	Re: Tr : Observatoire de l'Investissement de Trendeo	180	24

1880	s9W	from		pourrions	certes	meme	1327678067	graphique 11	183	47

1879	s9W	to		cher	rajouter	oeuvre	1327678457	Re: graphique 11	183	54

1890	s9W	from		les	france	depuis	1327686086	dete de la france	185	6

1889	s9W	to		nous	peux	avant	1327686501	Re: dete de la france	185	16

1888	s9W	from		depuis	vendredi	manière	1327687565	RE: dete de la france	185	31

1898	s9W	from		essayé	doc	pièce	1327687766	dataviz	186	18

1895	s9W	to		light	graph	animations	1327688361	Re: dataviz	186	43

1894	s9W	to		traitement	vus	graphs	1327691487	Re: dataviz	186	55

1892	s9W	from		graph	animations	classique	1327743763	RE: dataviz	186	70

1893	s9W	to		sous	faudrait	certains	1327744723	RE: dataviz	186	26

1897	s9W	to		bayrou	tourne	pourraient	1327744856	RE: dataviz	186	37

1900	s9W	from		couche	urgence	faisons	1327744955	RE: dataviz	186	61

1899	s9W	from		coude	avances	animer	1327745085	RE: dataviz	186	97

1896	s9W	to		textes	meme	raphael	1327755277	RE: dataviz	186	61

1958	s9W	from		france	hello	ans	1327769861	evolution salaire net	188	7

1959	s9W	to		mais	from	some	1327775350	Re: evolution salaire net	188	9

1965	s9W	from		medef	penses	doc	1327770712	medef - retraites	189	25

1966	s9W	to		texte	julien	guez	1327775805	Re: medef - retraites	189	28

1967	s9W	from		medef	guez	minimum	1327777464	RE: medef - retraites	189	53

1960	s9W	to		chiffres	proposer	gagner	1327783939	RE: medef - retraites	189	44

1964	s9W	from		jours	eux	sommes	1327784165	RE: medef - retraites	189	18

1961	s9W	from		des	suis	peu	1327784203	RE: medef - retraites	189	8

1963	s9W	to		oui	heure	object	1327838849	RE: medef - retraites	189	20

1962	s9W	to		mobile	trucs	object	1327838934	RE: medef - retraites	189	18

1987	s9W	from		texte	évident	infographies	1327861747	Re: Dropbox et travail simultané	191	19

1990	s9W	to		des	pense	oui	1327862151	Re: Dropbox et travail simultané	191	8

2000	s9W	from		hong	aimerai	grosses	1327854152	tip top	193	35

2002	s9W	from		jérôme	sais	données	1327854487	que detiens la dette de la France	194	15

2001	s9W	to		peut	dit	aussi	1327857212	Re: que detiens la dette de la France	194	14

2004	s9W	from		pas	pour	faire	1327861415	Re: que detiens la dette de la France	194	8

2003	s9W	to		ça	être	peut	1327861536	Re: que detiens la dette de la France	194	10

2006	s9W	to		les	sur	par	1327856827	Fwd: OECD.Stat Extracts Bulk Download CSV File	195	9

2010	s9W	from		que	faire	peux	1327862204	Re: Fwd: OECD.Stat Extracts Bulk Download CSV File	195	10

2008	s9W	to		from	some	sent	1327863543	Re: Fwd: OECD.Stat Extracts Bulk Download CSV File	195	5

2005	s9W	from		brief	download	froid	1327863957	RE: Fwd: OECD.Stat Extracts Bulk Download CSV File	195	42

2048	s9W	to		secondaire	travaillons	typographique	1327916742	medef	199	191

2053	s9W	from		travaillons	typographique	wordle	1327935708	RE: medef	199	218

2055	s9W	to		faut	super	cas	1327936424	Re: medef	199	19

2051	s9W	from		janvier	tweets	medef	1327936480	RE: medef	199	45

2052	s9W	to		charte	parisot	polish	1327936901	Re: medef	199	136

2050	s9W	to		des	ans	trucs	1327936969	Re: medef	199	21

2049	s9W	from		polish	buzz	madonna	1327937355	RE: medef	199	167

2059	s9W	to		inutile	tiennes	lancés	1327919920	Bayrou (was Fwd: medef)	200	208

2063	s9W	to		illustrée	marquée	mentalement	1327921047	commentaire sur l'ex maquette	201	357

2082	s9W	from		faire	lui	peu	1327936110	streamgraph	205	15

2086	s9W	to		extérieur	passage	salaires	1327936601	Re: streamgraph	205	57

2085	s9W	from		extérieur	versus	streamgraph	1327937442	RE: streamgraph	205	82

2143	s9W	to		contextualise	diversité	insert	1328031106	Re: 5 - IDH animated	208	131

2107	s9W	from		respirer	tirées	déséquilibrer	1328033416	RE: 5 - IDH animated	208	192

2116	s9W	to		soir	qqch	enverrai	1328033530	Re: 5 - IDH animated	208	3

2130	s9W	to		retenir	souhaitons	fréquemment	1328055356	Re: 5 - IDH animated	208	112

2102	s9W	from		mais	have	nous	1328693518	Re: 5 - IDH animated	208	10

2159	s9W	from		walther	lundi	vue	1328025444	RE: 19 - création d'emplois	209	45

2196	s9W	from		truc	jeff	type	1327999577	G20 Data	210	25

2195	s9W	to		cac	dezooming	effeil	1328004781	Re: G20 Data	210	346

2210	s9W	to		moi	assez	ensemble	1328019591	Re: in unrelated news	212	13

2233	s9W	from		alena	mercosur	andine	1328019098	datas	215	51

2232	s9W	to		moi	peux	données	1328022538	Re: datas	215	13

