message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

307	sJx	from		également	aet	associés	1325689402	Re: Suite	33	23

10221	sJx	from		accepter	invitation	professionnel	1338071620	Rejoindre mon réseau sur LinkedIn	1109	38

t1542	sJx	to	mention	propose	communication	stage	1330389621		t250	15

t890	sJx	to	mention	kilianba	ratzillas	davidmedioni	1334366163		t595	13

t1541	sJx	to	mention	http	social	recherche	1337131165		t830	11

t1540	sJx	to	mention	end	responsable	front	1338943241		t992	11

