message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

605	u9i	from		professional	invitation	connections	1326110314	Join my network on LinkedIn	63	78

1811	u9i	from		youtube	cfj	afp	1327593758	YouTube Elections 2012 reçoit Jean-Luc Mélenchon =21	178	21

3223	u9i	to		courts	moscovici	délais	1328889287	Et de Un - Pacte du Numérique	335	58

3224	u9i	to		date	jeudi	mehdi	1329131025	Re: Et de Un - Pacte du Numérique	335	21

3228	u9i	to		voici	ordre	bonsoir	1329331832	Re: Et de Un - Pacte du Numérique	335	29

3641	u9i	to		engagements	finaliser	engagés	1329479615	CR - Pacte du Numérique	384	49

3957	u9i	from		soumettre	villepin	vérifiée	1329991706	YouTube Elections 2012 reçoit Nicolas Dupont-Aignan =21	417	412

5252	u9i	to		boris			1331660152	Re: place du numérique et campagne présidentielle	554	1

5253	u9i	to		cool	retour	donne	1331660264	Re: place du numérique et campagne présidentielle	554	18

5303	u9i	to		principe	sachant	echos	1331715803	RE :	558	40

5301	u9i	from		très	vite	fyi	1331725777	Re: RE :	558	4

5302	u9i	to		vite	dès	effet	1331726050	Re: RE :	558	18

5299	u9i	from		dès	online	mention	1331743076	Re: RE :	558	17

5300	u9i	to		bien	vous	mehdi	1331744627	Re: RE :	558	4

5640	u9i	from		pour	une	dans	1332176222	Re: =5Bpacte du numérique=5DFYI: aujourd'hui à 17h30 =40 evajoly répond aux questions sur le numérique sur twitter  via Fred Neau.	601	10

5843	u9i	from		cfpj	christel	gonzalez	1332327163	YouTube Election 2012 s'invite sur Google + pour recevoir François Bayrou =21	618	566

5748	u9i	from		ouvert	positif	ale	1332497909	Re: Actualité du Pacte	630	45

5747	u9i	to		mais	par	rapport	1332498008	Re: Actualité du Pacte	630	6

5746	u9i	to		envoyés	retenu	bastien	1332503513	Re: Actualitédu Pacte	630	77

5735	u9i	from					1332575402	Re: Actualité du Pacte	630	0

6856	u9i	to		notamment	événement	comporte	1333553146	Fwd: Conrad Wolfram interviendra à la conférence M icrosoft: Quelle école pour demain ? Paris=2C 5 avril 2012=2FCo nrad Wolfram to speak at the Paris Microsoft conference: Wha t is the future of education? 5 April 2012	735	27

7651	u9i	from		[]cha	[]concours	bulle	1334737400	YouTube Elections 2012 : RDV sur YouTube et Google + pour l'interview de Nathalie Kosciuko-Morizet	813	552

9344	u9i	to		tactique	découpage	circonscriptions	1337001732	mon projet sur les circonscriptions	1002	169

t1369	u9i	to	mention	même	là	vraiment	1332461295		t438	12

t1226	u9i	to	mention	juste	dessus	tweets	1334625671		t614	18

t140	u9i	to	mention	aussi	bcp	tweets	1336436834		t779	17

t138	u9i	to	mention	paris	non	instant	1336781305		t804	15

t139	u9i	to	mention	des	sur	peut	1336872044		t813	13

t137	u9i	to	mention	tweets	continue	boris	1336872385		t815	16

