message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

273	vXa	to		saw	tulp	visualizer	1325673926	SEE #7	28	32

277	vXa	to		domination	owner	clashes	1325674514	Re: SEE #7	29	140

281	vXa	to		andy	happy	willem	1325674679	Re: SEE #7	29	25

290	vXa	from		zürich	freiestrasse	excel	1325675191	Re: SEE #7	29	91

280	vXa	to		address	wish	speaking	1325682392	Re: SEE #7	29	49

274	vXa	to		yes	year	jan	1325682834	Re: SEE #7	29	19

279	vXa	to		monitor	icons	imminent	1325675475	Re: SEE #7	30	60

278	vXa	to		www	andy	web	1325683148	Re: SEE #7	32	20

287	vXa	to		board	scene	wiesbaden	1325687780	Re: SEE #7	32	56

285	vXa	to		kirk	visualisingdata	visualising	1325691876	Re: SEE #7	35	30

284	vXa	to		hire	confirmed	refer	1325694035	Re: SEE #7	35	127

282	vXa	to		really	don	too	1325709183	Re: SEE #7	35	8

286	vXa	to		excitement	grab	officially	1325719225	Re: SEE #7	35	121

289	vXa	to		barcelona	expectancy	funded	1325725703	Re: SEE #7	35	139

275	vXa	to		funding	announced	speakers	1325750522	Re: SEE #7	35	97

283	vXa	to		themed	exchanges	echoing	1325751119	Re: SEE #7	41	322

288	vXa	to		address	knowledge	london	1325760712	Re: SEE #7	41	45

276	vXa	to		conferences	invited	practice	1325765749	Re: SEE #7	41	42

422	vXa	to		nathan	thorp	reaction	1325790298	Flowingdata	41	66

420	vXa	to		nathan	weird	fee	1325792098	Re: Flowingdata	41	65

426	vXa	to		familiar	reputation	weak	1325804827	Re: Flowingdata	41	127

427	vXa	to		old	model	paid	1326141866	Re: Flowingdata	41	39

416	vXa	to					1326143286	Re: Flowingdata	41	0

421	vXa	to		allow	commercial	invested	1326185438	Re: Flowingdata	41	76

419	vXa	to		again	money	fun	1326191551	Re: Flowingdata	41	29

425	vXa	to		for	one	get	1326193789	Re: Flowingdata	41	6

424	vXa	to		personally	nathan	sign	1326198883	Re: Flowingdata	41	68

404	vXa	to		was	something	interesting	1325782315		47	10

423	vXa	to		occasional	act	sustainability	1326200817	Re: Flowingdata	74	78

417	vXa	to		met	ask	weeks	1326210983	Re: Flowingdata	74	34

418	vXa	to		you	know	moritz	1326220976	Re: Flowingdata	74	13

839	vXa	to		jan	willem	does	1326309908	Resonate	85	15

838	vXa	from		team	unfortunately	care	1326310825	Re: Resonate	85	26

841	vXa	to		love	damm	eickedorfer	1326311966	Re: Resonate	85	25

836	vXa	to		advantage	license	windows	1326313100	Re: Resonate	85	71

843	vXa	to		going	sure	since	1326379323	Re: Resonate	85	22

837	vXa	to		glad	plans	family	1326456598	Re: Resonate	85	32

842	vXa	to		moment	yet	haven	1326644075	Re: Resonate	85	13

840	vXa	to		update	eyeo	attend	1328045390	Re: Resonate	85	26

996	vXa	to		episodes	infinite	novice	1326491746	How does a beginner find data?	100	262

998	vXa	to		statistical	movement	extensive	1326492283	Re: How does a beginner find data?	100	162

999	vXa	to		gapminder	ages	journalist	1326494460	Re: How does a beginner find data?	100	158

997	vXa	from		feeds	websites	acquisition	1326532953	Re: How does a beginner find data?	100	96

1000	vXa	to		personally	graphs	knowing	1326585773	Re: How does a beginner find data?	100	69

1551	vXa	to		arisen	deemed	delivering	1327350886	Quick bit of advice	145	250

1555	vXa	to		arisen	deemed	delivering	1327352124	Quick bit of advice	146	234

1554	vXa	to		higher	output	selling	1327357198	Re: Quick bit of advice	146	133

1553	vXa	to		similar	kirk	says	1327357490	Re: Quick bit of advice	146	50

1552	vXa	to		trainers	barriers	enricos	1327359766	Re: Quick bit of advice	146	132

1611	vXa	to		normally	mistake	reckon	1327419339	Not getting cartel emails	150	134

1612	vXa	to		mailto	mac	url	1327428429	Re: Not getting cartel emails	150	61

1669	vXa	to		comedy	happier	competing	1327491456	imdb + vis	158	185

1666	vXa	to		your	got	looking	1327492101	Re: imdb + vis	158	16

1668	vXa	to		keywords	confidence	genres	1327495269	Re: imdb + vis	158	52

1667	vXa	to		water	skilled	woohoo	1327502201	Re: imdb + vis	158	93

1728	vXa	to		datasets	contribute	nutshell	1327518586	bat signal	168	90

1732	vXa	to		jérôme	jan	probably	1327520394	Re: bat signal	168	7

1735	vXa	to		the	not	then	1327520712	Re: bat signal	168	5

1730	vXa	to		the	not	well	1327522116	Re: bat signal	168	8

1727	vXa	to		not	definitely		1327522298	Re: bat signal	168	2

1729	vXa	from		interactivethings	founding	zürich	1327565165	Re: bat signal	168	50

1734	vXa	to		also	great	cartel	1327565997	Re: bat signal	168	13

1731	vXa	to		cheers	may	book	1327566363	Re: bat signal	168	17

1733	vXa	to		cartel	happy	sorry	1327566851	Re: bat signal	168	16

2080	vXa	to		afternoon	visualising	ltd	1327932800		204	64

2081	vXa	to		workshop	andrew	sort	1327938410	Re:	204	31

2497	vXa	to		cube	juror	jurors	1328221509	Now I am Sure: Visualizing Marathon is Bullshit	248	55

2495	vXa	to		cartel	problem	whole	1328221708	Re: Now I am Sure: Visualizing Marathon is Bullshit	248	14

2501	vXa	to		london	choice	review	1328221933	Re: Now I am Sure: Visualizing Marathon is Bullshit	248	28

