message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

1831	vv1	from		redac	refuses	subsidiaries	1327599219	Tr : Observatoire de l'Investissement de Trendeo	180	258

t1419	vv1	to	mention	les	dans	sera	1331683319		t373	9

t1420	vv1	to	mention	mais	http	numérique	1339378229		t1036	16

t1679	vv1	from	mention	data	faire	nous	1351905419		t2026	15

t285	vv1	to	mention	est	qui	sur	1351902164		t2026	11

t1158	vv1	to	mention	http	avant	monde	1353027004		t2110	18

t1193	vv1	from	dm	renseigne			1351903563		dm42	15

