message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

11763	w3o	from		chapters	packtpub	msn	1340080000	Re: Data Visualization Book Review	1290	75

11762	w3o	from		joel	coordinator	goveya	1340173359	Re: Data Visualization Book Review	1298	42

12532	w3o	from		author	joel	coordinator	1340771626	Chapter 1 for review	1350	49

12530	w3o	to		you	for	this	1340807046	Re: Chapter 1 for review	1350	9

12529	w3o	from		packt	author	joel	1340858578	Re: Chapter 1 for review	1350	37

12528	w3o	from		author	joel	coordinator	1341292959	Re: Chapter 1 for review	1350	49

12533	w3o	from		author	joel	coordinator	1346232034	Re: Chapter 1 for review	1350	49

12531	w3o	from		coordinator	reviewed	filled	1346667239	Re: Chapter 1 for review	1350	74

15148	w3o	from		coordinator	author	goveya	1343968691	Reviewer bio forms	1675	62

15997	w3o	from		author	joel	coordinator	1345202268	Chapters 4 and 5 for review	1784	43

16937	w3o	to		revision	assessed	chaotic	1346707934	comments on chapter 4	1852	572

16936	w3o	from		packt	author	joel	1346821297	Re: comments on chapter 4	1852	36

16935	w3o	from		packt	author	joel	1346906250	Re: comments on chapter 4	1878	37

16938	w3o	from		joel	coordinator	reviewed	1347440253	Re: comments on chapter 4	1908	65

16941	w3o	from		joel	coordinator	reviewed	1348121011	Re: comments on chapter 4	1997	60

16939	w3o	from		coordinator	reviewed	goveya	1348478869	Re: comments on chapter 4	2004	53

18392	w3o	from		joel	coordinator	filled	1348545655	Re: comments on chapter 6	2016	47

18389	w3o	from		coordinator	goveya	joelg	1348545776	Re: comments on chapter 6	2016	45

18390	w3o	from		joel	coordinator	filled	1349763922	Re: comments on chapter 6	2016	50

18394	w3o	from		coordinator	goveya	publishing	1351748067	Re: comments on chapter 6	2016	60

