message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

126	wF9	from		serviette	économiser	écueils	1325492676		9	188

128	wF9	to		réveiller	télécommande	assiette	1325493238	Re:	9	79

127	wF9	from		bouffe	couteau	affecte	1325493429	Re: Re:	9	48

130	wF9	from		qui	avec	enfin	1325493011	Re: Personalized Message From Santa	10	7

129	wF9	to		est	mon	elle	1325493283	Re: Personalized Message From Santa	10	10

135	wF9	from		brutalise	datés	devinant	1325497197		11	198

136	wF9	to		qui	ça	fait	1325498438	Re:	11	12

137	wF9	from		même	très	quand	1325497614		12	10

197	wF9	from		très	alors	cela	1325597533		16	16

198	wF9	to		des	une	dans	1325598199	Re:	16	10

475	wF9	from		chaise	lumières	épargner	1325866775		53	90

571	wF9	from		maintenant	suite	école	1326099804		59	18

572	wF9	from		retourner	contente	cacahuète	1326100029		60	28

576	wF9	to		que	lui	faut	1326109006	Re:	60	5

589	wF9	from		catherine	évoqué	exit	1326114967	Re: Re:	60	85

584	wF9	to		cadeaux	ambiance	pièces	1326115439	Re: Re:	60	108

582	wF9	from		location	mot	films	1326115852	Re: Re: Re:	60	28

588	wF9	to		décide	dépenser	payés	1326116498	Re: Re: Re:	60	91

577	wF9	from		rentrant	hésité	laver	1326116784	Re: Re: Re: Re:	60	42

581	wF9	to		càd	crier	arrêt	1326117025	Re: Re: Re: Re:	60	62

590	wF9	from		insulter	armoire	hurler	1326117524	Re: Re: Re: Re: Re:	60	100

578	wF9	to		regrette	nerfs	chargée	1326117703	Re: Re: Re: Re: Re:	60	73

591	wF9	from		truc	vas	dès	1326118203	Re: Re: Re: Re: Re: Re:	60	15

579	wF9	to		touchait	cuisse	attendrai	1326119230	Re: Re: Re: Re: Re:	60	429

586	wF9	from		dépression	voitures	brute	1326119942	Re: Re: Re: Re: Re: Re:	60	133

583	wF9	to		dormir	concerne	cacahuète	1326120270	Re: Re: Re: Re: Re: Re:	60	47

575	wF9	from		ça	dire	quoi	1326120769	Re: Re: Re: Re: Re: Re: Re:	60	6

580	wF9	to		qui	tout	cacahuète	1326121128	Re: Re: Re: Re: Re: Re: Re:	60	4

587	wF9	from		bcp	cause	normalement	1326121497	Re: Re: Re: Re: Re: Re: Re: Re:	60	19

585	wF9	to		elle	dire	etc	1326121514	Re: Re: Re: Re: Re: Re: Re: Re:	60	13

573	wF9	from		que	pas	est	1326121748	Re: Re: Re: Re: Re: Re: Re: Re: Re:	60	12

574	wF9	to		que	tout	bon	1326121794	Re: Re: Re: Re: Re: Re: Re: Re: Re:	60	9

620	wF9	from		ça	cette	non	1326121978		64	10

622	wF9	from		est	avec	elle	1326122025		65	14

621	wF9	to		une	avec	suis	1326122763	Re:	65	7

624	wF9	from		plus	mon	fonctionne	1326122869		66	4

623	wF9	to		est	ça	tout	1326122872	Re:	66	6

626	wF9	from		heure	changer	moitié	1326124260	Re: Re:	66	19

625	wF9	to		par	vas	complètement	1326124288	Re: Re:	66	6

686	wF9	to		commencent	économies	appelles	1326184846	=?ISO-8859-1?B?ZOhzIHF1ZSB0dSBwb3VycmFzLi4u	73	64

751	wF9	from		intéressent	exacte	réplique	1326277504		80	42

749	wF9	to		étant	préfère	aimes	1326278614	Re:	80	38

750	wF9	from		une	comme	autre	1326278883	Re: Re:	80	16

753	wF9	to		là	espère	savoir	1326279451	Re: Re:	80	17

752	wF9	from		dit	dire	parce	1326298030	Re: Re: Re:	80	19

903	wF9	from					1326391259	oooooooooooooohhhhhhhhhhhhhhh	91	0

936	wF9	to		est	mais	nous	1326446335	Fwd: Venez rencontrer la comédienne SANDRINE BONNAI RE =21	96	10

1109	wF9	from		vous	dire	quand	1326721419		103	15

1105	wF9	to		compte	avons	rendu	1326723602	Re:	103	28

1108	wF9	from		tableau	derrière	merde	1326724146	Re: Re:	103	22

1107	wF9	to		désolé	nécessaire	terre	1326724391	Re: Re:	103	33

1104	wF9	from		est	moi	mon	1326724806	Re: Re: Re:	103	6

1106	wF9	to		sois	courant	étant	1326725012	Re: Re: Re:	103	47

1142	wF9	from		pour	aux	chaud	1326790083		108	6

1143	wF9	to		les	même	quand	1326790393	Re:	108	7

1141	wF9	from		orchestre	emmènerai	fur	1326790741	Re: Re:	108	159

1147	wF9	from		son	chez	vois	1326791630		110	14

1390	wF9	from		yazici	zachée	cynthia	1327063006	Fwd: TR: Décès papa de l'école	128	202

1391	wF9	from		vatin	victour	vivian	1327063041	Fwd: CR Conseil d'école, Règlement Intérieu r,PPMS, bilan Coopérative et charte internet  école Falguière	129	303

1392	wF9	from		destinataires	préalablement	référent	1327063076	Fwd: Liste des élèves de la classe de CE1a Mm e CHAMARD SIAU	130	178

1410	wF9	from		machine	faite	lancer	1327075302		132	33

1411	wF9	to		from	moi	sent	1327077230	Re:	132	7

1504	wF9	from		qui	part	vis	1327312887		141	13

1505	wF9	to		qui	est	non	1327313823	Re:	141	16

1520	wF9	from		une	aussi	petite	1327327079	Re: Re:	141	5

1506	wF9	from		hier	info	viens	1327313004		142	13

1507	wF9	to		les	ça	sur	1327313957	Re:	142	9

1508	wF9	from		est	des	ça	1327327059	Re: Re:	142	11

1577	wF9	to		payé	revu	cliquer	1327396538	ouh la la j'ai eu peur	147	74

