message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

54	wwl	to		posent	recommande	expliciter	1324975814	Re: Fwd: Rencontre intercollectivités	4	92

56	wwl	from		apparemment	licences	limites	1327169313	Re: Fwd: Rencontre intercollectivités	4	56

330	wwl	from		bonjour	bonne	claire	1325772928	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	14

949	wwl	from		merci	claire	pierre	1326476002	Re: Réu Pacte du Numérique	97	14

951	wwl	to		end	hier	mehdi	1326479222	Re: Réu Pacte du Numérique	97	18

3223	wwl	to		courts	moscovici	délais	1328889287	Et de Un - Pacte du Numérique	335	58

3227	wwl	from		etre	presence	efficace	1328889983	Re: Et de Un - Pacte du Numérique	335	42

3229	wwl	to		fois	hello	serait	1328890170	Re: Et de Un - Pacte du Numérique	335	18

3224	wwl	to		date	jeudi	mehdi	1329131025	Re: Et de Un - Pacte du Numérique	335	21

3228	wwl	to		voici	ordre	bonsoir	1329331832	Re: Et de Un - Pacte du Numérique	335	29

3641	wwl	to		engagements	finaliser	engagés	1329479615	CR - Pacte du Numérique	384	49

3635	wwl	from		preuve	problématique	bords	1329827660	Re: Re : CR - Pacte du Numérique	398	43

3654	wwl	to		apporter	delà	collectif	1329830149	Re: Re : CR - Pacte du Numérique	398	26

3646	wwl	to		lyon	bernard	associer	1329833860	Re: Re : CR - Pacte du Numérique	398	30

3653	wwl	to		recruter	soutenir	actuelle	1329841144	Re: Re : CR - Pacte du Numérique	398	58

3647	wwl	from		bien	recu		1329841347	Re: Re : CR - Pacte du Numérique	398	2

3658	wwl	from		tous	mes	merci	1329827517	Re: Re : CR - Pacte du Numérique	399	11

3659	wwl	to		asso	explicitement	légitimité	1329843565	RE: Re : CR - Pacte du =?ISO-8859-1?B?TnVt6XJpcXVl	404	73

3899	wwl	from		entrer	envisageable	vise	1329923667	Re: Doc - Version finale	410	102

3900	wwl	to		anxiogène	engageant	avancés	1329924093	Re: Doc - Version finale	410	78

3896	wwl	to		doc	christian	tribune	1330332035	Re: Doc - Version finale	410	33

4003	wwl	from		aborder	afficher	thématique	1330086481	Re: =5Bpacte du numérique=5D compte rendu de la réunio n de ce matin	429	47

4270	wwl	to		commentaires	commun	wordpress	1330421401	http://pacte-numerique-2012.org/	461	36

4278	wwl	from		citoyenneté	citées	constat	1330425808	Re: Tribune commune	464	122

4280	wwl	to		affirmation	bondir	inscris	1330426585	Re: Tribune commune	464	223

4279	wwl	to		crédibilité	exhaustives	légitimes	1330443183	Re: Tribune commune	464	144

4414	wwl	from		telles	recueillir	adhésion	1330545562	Re: Rappel réunion hebdomadaire et Tribune commune	486	106

4415	wwl	to		indicatif	suffisante	heurte	1330547056	Re: Rappel réunion hebdomadaire et Tribune commune	486	87

4413	wwl	to		indicatif	suffisante	heurte	1330599235	Re: Rappel réunion hebdomadaire et Tribune commune	486	95

5298	wwl	from		rejoignez	accueillera	aine	1331712808	Contributions semaine de l'open data Nantes	557	96

6856	wwl	to		notamment	événement	comporte	1333553146	Fwd: Conrad Wolfram interviendra à la conférence M icrosoft: Quelle école pour demain ? Paris=2C 5 avril 2012=2FCo nrad Wolfram to speak at the Paris Microsoft conference: Wha t is the future of education? 5 April 2012	735	27

8701	wwl	from		demande	linkedin	avez	1336061613	TR: Demande d'introductio n aupr=C3=A8s de Jér=C3=B4me Cukier	940	19

21217	wwl	from		suivez	agenda	cada	1351891166	Infographie cada	2341	47

21215	wwl	to		bonjour	top	bises	1351968314	Re: Infographie cada	2341	18

21216	wwl	from		occasion	finalement	article	1351973434	Re: Infographie cada	2341	27

t1416	wwl	to	mention	selon	croissance	libertic	1325722406		t16	17

t1498	wwl	to	mention	opendata	libertic	toucher	1330042319		t226	17

t664	wwl	to	mention	trouve	etalab	sortir	1332895331		t467	10

t1359	wwl	to	mention	demain	parler	claire	1342054924		t1378	13

t665	wwl	to	mention	claire	congrats	libertic	1342311479		t1425	17

t666	wwl	to	mention	ça	quand	toi	1342314138		t1426	2

t124	wwl	from	mention	babgi	libertic	pétition	1347413601		t1693	1

t34	wwl	to	mention	open	claire	via	1353977418		t2166	16

t1457	wwl	from	mention	open	claire	via	1354060871		t2169	19

t1182	wwl	from	dm	merci	intéressant		1342314363		dm28	3

