message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

328	xsZ	from		tous	peux	soir	1325774052	Re: CNN OD : Prochaine réunion jeudi 5 janvier 2012  de 18:00 à 20:00 à l'OCDE 2=2C rue André Pascal 75016 Pari s	37	13

2341	xsZ	from		aurai	aimé	acteurs	1328102871	CNN Les acteurs pub de l'opendata sont réunis à Pa ris	236	28

2336	xsZ	to		collectivités	objectif	récupérer	1328103714	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	42

2338	xsZ	to		difficulté	établir	vocation	1328106179	Re: CNN Les acteurs pub de l'opendata sont =?UTF-8?B?csOpdW5pcyA= =?UTF-8?B?w6A=Paris	236	71

2335	xsZ	from		négocier	questionnaire	regrouper	1328114354	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	110

2334	xsZ	to		laurent	certains	continuer	1328132124	Re: CNN Les acteurs pub de l'opendata sont réunis  =C3=A0 Paris	236	26

2340	xsZ	from		rassembler	naïvement	énerve	1328191434	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	103

2337	xsZ	from		parlé	accord	politique	1328195983	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	15

2339	xsZ	to		marquées	prérogatives	souhait	1328199618	Re: CNN Les acteurs pub de l'opendata sont réunis  à Paris	236	194

2353	xsZ	from		créativité	drupal	expérimenter	1328115278	Happy New Média 2012 =21 Drupal inside	239	112

3644	xsZ	to		évoqué	engagés	distinguer	1329825504	Re: Re : CR - Pacte du Numérique	398	122

4279	xsZ	from		crédibilité	exhaustives	légitimes	1330443183	Re: Tribune commune	464	144

12354	xsZ	from		matin	jean	cordialement	1340828243	Re: Rdv Fleur Pellerin - 9 Juillet, 17H	1327	18

12352	xsZ	from		uvre	visons	voilure	1341469403	Re: Re : Rdv Fleur Pellerin - 9 Juillet, 17H	1410	727

12350	xsZ	from		crowdsource	fonctionnalité	idéation	1341570112	Re: Re : Rdv Fleur Pellerin - 9 Juillet, 17H	1410	107

10895	xsZ	from		jurisprudence	chagement	etape	1341507936	Re: CNNum - sortie de l'avis Open Data	1415	65

