message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

6189	yvb	from		salut	petite	années	1332790522	laurence	649	26

6200	yvb	to		sacrée	adultes	mémoire	1332796172	Re: laurence	649	161

6196	yvb	from		rassure	sentimentale	continué	1332836090	Re: laurence	649	80

6185	yvb	to		costume	seules	divorcée	1332852421	Re: laurence	649	158

6186	yvb	from		prince	métiers	adorables	1332855455	Re: laurence	649	118

6191	yvb	to		sérieusement	voyait	actu	1332857818	Re: laurence	649	78

6180	yvb	from		femmes	mari	hauteur	1332868162	Re: laurence	649	67

6194	yvb	to		viendras	arrangeait	bavarder	1332876507	Re: laurence	649	203

6199	yvb	from		honneteté	mensonge	certifiait	1332940072	Re: laurence	649	132

6183	yvb	to		officiellement	fausses	supprimé	1332950940	Re: laurence	649	176

6184	yvb	from		stresse	rôles	fac	1332959949	Re: laurence	649	95

6197	yvb	to		incident	calculer	géo	1333040712	Re: laurence	649	101

6195	yvb	from		visage	incident	géo	1333050165	Re: laurence	649	88

6178	yvb	to		reconnaître	établi	ironique	1333136709	Re: laurence	649	149

6192	yvb	from		saurai	aident	ordinateurs	1333195931	Re: laurence	649	115

6190	yvb	to		fluo	ghostbusters	gong	1333202810	Re: laurence	649	329

6179	yvb	from		alternée	biologie	craint	1333221475	Re: laurence	649	288

6181	yvb	to		connaîtrait	démasquer	impétueux	1333310354	Re: laurence	649	343

6188	yvb	from		permettrait	grandir	entendais	1333351306	Re: laurence	649	186

6182	yvb	to		fondre	génialissimes	looké	1333371463	Re: laurence	649	305

6193	yvb	from		payantes	perturbé	terrestre	1333436429	Re: laurence	649	131

6187	yvb	to		bohème	bourgeois	catalogué	1333568030	Re: laurence	649	222

6198	yvb	from		connait	restaurants	endroits	1333628838	Re: laurence	649	59

9038	yvb	from		jérome	penses	compliqué	1336503382		964	32

9035	yvb	to		bastille	approché	cohabitation	1336504726	Re:	964	246

9036	yvb	from		résoudre	dépendant	réformes	1336636694	Re:	964	123

9037	yvb	to		concentrait	concentrée	dresse	1336639032	Re:	964	212

9039	yvb	from		dangereuse	personnage	peuples	1336640321	Re:	964	128

9961	yvb	from		aux	où	tes	1337802441	Re:	964	13

9963	yvb	to		génial	correspond	pistes	1337814505	Re:	964	84

9962	yvb	from		effectivement	semaines	courant	1337840318	Re:	964	35

11007	yvb	from		paris	bisous	salut	1339090455		1202	16

11006	yvb	to		fier	carrément	sophia	1339111630	Re:	1202	116

11008	yvb	from		héréditaires	lavent	majeure	1339129047	Re:	1202	120

12826	yvb	to		dingue	laurence	seras	1341221925	du 5 au 8	1373	46

12830	yvb	from		matin	arrive	salut	1341230903	Re: du 5 au 8	1373	26

13447	yvb	from		courrier	beaux	familiale	1341863576		1458	89

13445	yvb	to		souvient	couché	décident	1341876976	Re:	1458	236

13449	yvb	from		grandir	trainer	compétent	1342100165	Re:	1458	171

13448	yvb	to		dire	vais	bisous	1342100334	Re:	1458	16

13446	yvb	from		que	bien	bisous	1342102738	Re:	1458	6

13444	yvb	to		est	des	ça	1342102803	Re:	1458	11

13916	yvb	to		imposait	inadapté	kopek	1342468690	hello	1504	918

13917	yvb	from		discutait	divorcer	dragué	1342558627	Re: hello	1504	606

13915	yvb	to		cumule	déjeunait	dénouement	1342571842	Re: hello	1504	664

14089	yvb	to		pervers	bourrichon	coincidences	1342650871	je suis à	1525	266

14095	yvb	from		dents	croyais	vol	1342706691	Re: je suis à	1525	88

14091	yvb	to		lobbystes	massif	tailleur	1343251447	Re: je suis à	1525	366

14096	yvb	from		laisse	aucun	jérome	1343303486	Re: je suis à	1525	37

14094	yvb	to		boxe	gloire	écourté	1343319929	Re: je suis à	1525	461

