message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

382	z3Q	from		accept	invitation	connections	1325766606	Join my network on LinkedIn	42	79

9810	z3Q	from		journalisme	ddj	paulette	1337694463	Re: merci pour le lien	1057	44

9809	z3Q	to		fichier	bleu	ump	1337707544	Re: merci pour le lien	1057	70

9811	z3Q	from		for	sur	fille	1337710376	Re: merci pour le lien	1057	6

9813	z3Q	to		femmes	construit	voix	1337773831	Re: merci pour le lien	1057	39

9807	z3Q	from		article	excellente	marrant	1337779223	Re: merci pour le lien	1057	17

9812	z3Q	to		applique	dessiner	fonctionner	1337780315	Re: merci pour le lien	1057	90

10813	z3Q	from		excellent	avis	demandé	1338890600	Fwd: Rapport Open Data	1180	20

17043	z3Q	to		paule	populiste	pourcents	1346837833	mon entrée pour le concours tableau politique 2012	1866	386

17042	z3Q	to		est	pour	fait	1346837914	Re: mon entrée pour le concours tableau politique 2 012	1866	5

17041	z3Q	from		retour	intéressant	premier	1346862315	Re: mon entrée pour le concours tableau politique 2 012	1866	27

t789	z3Q	to	mention	que	des	vous	1326158524		t40	8

t788	z3Q	to	mention	bien	fait	nicolaspatte	1330042443		t236	10

t1653	z3Q	to	mention	nicolaspatte	datapublica	thx	1331948005		t399	7

t1523	z3Q	to	mention	hui	aujourd	présidentielle	1333934058		t563	15

t784	z3Q	to	mention	premier	malgré	bio	1337128946		t833	12

t1522	z3Q	to	mention	http	who	interactif	1337303659		t847	17

t677	z3Q	to	mention	aller	merci	dimanche	1339203266		t1017	5

t786	z3Q	to	mention	une	dans	juste	1340413627		t1163	4

t785	z3Q	to	mention	que	dans	plus	1340409922		t1168	15

t787	z3Q	to	mention	temps	moment	passe	1340410274		t1169	10

t1024	z3Q	to	mention	fyi	jandcross	cybunk	1340759906		t1208	4

t461	z3Q	from	mention	jcukier	eau	bouche	1346289078		t1624	14

