message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

10126	zI2	from		the	jerome	how	1338834183	Re: guest post	1175	6

10149	zI2	to		though	find	yes	1338962671	Re: guest post	1175	15

10150	zI2	from		excuse	gets	drew	1339001390	Re: guest post	1175	80

10141	zI2	to		level	works	tutorial	1339001718	Re: guest post	1175	25

10148	zI2	from		exciting	drew	step	1339002470	Re: guest post	1175	39

10137	zI2	from		best	any	idea	1339455127	Re: guest post	1175	12

10135	zI2	to		image	makes	especially	1340011403	Re: guest post	1175	54

10132	zI2	from		tips	reads	linking	1340043630	Re: guest post	1175	74

10143	zI2	from		the	best	way	1340044213	Re: guest post	1175	9

10136	zI2	from		linked	apologies	host	1340045747	Re: guest post	1175	45

10147	zI2	to		script	holds	remains	1340051080	Re: guest post	1175	81

10125	zI2	from		posts	hosted	genius	1340052772	Re: guest post	1175	93

10145	zI2	from		the	jerome	how	1340381994	Re: guest post	1175	10

10133	zI2	to		file	examples	updated	1340641380	Re: guest post	1175	28

10142	zI2	from		into	next	post	1340744708	Re: guest post	1175	24

10129	zI2	from		today	post	link	1341507874	Re: guest post	1175	36

10127	zI2	to		some	good	sent	1341513258	Re: guest post	1175	15

10128	zI2	from		out	best	one	1341513737	Re: guest post	1175	21

10134	zI2	to		try	give	oecd	1341514057	Re: guest post	1175	23

10139	zI2	from		page	blog	own	1341514563	Re: guest post	1175	36

10138	zI2	from		france	cukier	moment	1341514848	Re: guest post	1175	19

10140	zI2	from		going	next	may	1341515324	Re: guest post	1175	17

10144	zI2	to		priori	supposed	theory	1341515396	Re: guest post	1175	49

10146	zI2	to		with	from	sent	1341515445	Re: guest post	1175	6

10130	zI2	from		cheers	post	live	1341535965	Re: guest post	1175	4

13269	zI2	to		probably	forwarded	result	1341589167	Fwd: Transitions on Visually	1434	14

13271	zI2	from		that	all	one	1341593065	Re: Transitions on Visually	1434	8

t1549	zI2	to	mention	http	post	visualisingdata	1333412328		t512	16

t1472	zI2	to	mention	http	please	via	1333676047		t533	11

t814	zI2	to	mention	have	with	here	1334967344		t644	10

t1554	zI2	to	mention	http	nice	visualisingdata	1340760989		t1214	15

t1533	zI2	to	mention	http	post	transitions	1341619953		t1346	7

t1357	zI2	from	mention	http	interactive	excellent	1342311937		t1427	15

t262	zI2	from	mention	need	only	tweet	1350610181		t1922	11

t899	zI2	from	mention	eagereyes	speaking	infosthetics	1350695955		t1968	17

t1033	zI2	from	mention	the	jcukier	http	1355359192		t2285	20

t1708	zI2	from	dm	post	talk	interested	1337906175		dm34	10

