x,y,nb
265.1294728,208.771277661,1
804.1744472,248.139899766,2
153.781144533,169.242972665,2
154.097950637,207.307159356,9
232.937121333,215.833474556,2
751.164946667,311.276182042,1
219.351837867,231.717159638,1
262.460114578,194.111119822,3
222.136305067,222.733961912,2
332.789792533,303.716008665,1
946.035550667,430.243373205,1
508.6726544,110.877525831,1
283.316715467,188.7651327,1
567.61096,198.866289669,1
476.8684808,148.704633909,1
486.272591733,164.028343961,1
266.677636267,196.976201012,1
509.1202312,181.100335351,1
151.906409867,179.94924505,1
748.064329333,281.496782778,1
276.9402016,187.266445982,1
492.171446667,149.408641999,3
260.114193067,239.083156441,1
280.101280089,198.538089789,3
479.6593112,152.525741745,1
181.6238736,195.804906583,1
235.558338133,191.299704836,1
525.6190328,167.00791085,1
849.6578976,423.894727833,1
199.9130252,198.327759831,2
177.3575288,143.223107631,1
164.875779413,219.775086881,5
274.141502,202.418840251,2
256.685232533,190.165019162,1
271.312318667,202.065640833,1
274.8800688,197.708035495,1
246.237835733,191.4304025,3
268.078964,257.34791289,1
266.322847733,244.023257039,1
282.6508232,195.980857992,2
227.7904888,201.822466625,1
241.134498667,181.588877679,1
285.099336,192.695551612,1
572.751380267,225.813818877,1
818.607917867,207.25216359,1
583.354028,294.951102463,1
502.1505952,169.787944235,1
269.657710667,215.91918769,1
792.605970667,226.680441719,1
802.624585333,278.999688393,1
262.251597333,231.507938597,1
249.384521867,209.33953319,1
685.921930133,236.932742335,1
474.700672,156.031426724,1
866.568746667,433.616884634,1
255.251378933,231.166378541,1
231.760112533,179.90683568,1
