x,y,nb
266.8228624,208.285906268,1
199.776846578,199.190220877,3
153.6813936,169.726584534,3
165.192072844,219.999939381,6
231.9798288,214.710750494,1
513.323641333,191.580141065,1
219.351837867,231.717159638,2
290.033284533,190.019031289,2
153.939344558,206.705251219,11
221.415113733,223.890684964,2
492.1687936,149.558573306,3
942.090574133,446.072115533,1
507.832557067,111.323236879,1
567.61096,198.866289669,1
475.862674667,140.087137895,2
486.272591733,164.028343961,1
509.1202312,181.100335351,1
179.3861648,219.569770713,1
748.064329333,281.496782778,1
282.959350489,195.481313648,6
279.3594684,198.623345899,2
479.6593112,152.525741745,1
274.4912268,202.372354492,2
260.467130133,233.690645263,1
230.375716267,192.705491825,1
525.6190328,167.00791085,1
866.568746667,433.616884634,2
151.678033333,162.221613248,2
250.245152,199.417540177,1
258.2672664,188.939444227,1
255.758067733,292.282979236,1
266.295437067,244.575981586,2
254.6346144,201.810326141,1
231.3153316,180.308218839,2
241.134498667,181.588877679,1
254.965380267,220.30826779,1
572.751380267,225.813818877,1
504.418866133,158.848236531,1
152.348904267,203.567690469,1
501.44832,170.117965292,1
269.184414667,212.983592043,1
152.862715733,177.66078897,1
263.0456376,194.359776313,1
260.570867467,239.123323017,1
228.27054,214.786040904,1
255.251378933,231.166378541,2
275.9949848,189.551733497,1
248.843733867,208.444222002,1
685.921930133,236.932742335,1
246.072430933,190.946816297,1
