source,target,strength
1,0,235790256
2,0,114004521
3,0,69899651
4,0,58534779
5,0,182707752
6,0,470724409
7,0,278460514
8,0,121953925
9,0,75561121
10,0,132486517
11,0,31245380
12,0,67672167
13,0,83820444
14,0,28526927
15,0,217427249
16,0,53365364
17,0,59033554
18,0,18358712
19,0,38296558
20,0,48156748
21,0,17023252
22,0,17792290
23,0,47335406
24,0,97524165
25,0,32247702
26,0,37204731
27,0,34406252
28,0,29029667
29,0,10043661
30,0,17587807
31,0,10543348
32,0,16863294
33,0,26571154
34,0,11298013
35,0,9617857
36,0,15902957
37,0,20476277
38,0,12834179
39,0,22212899
40,0,16507977
41,0,19135705
42,0,17734367
43,0,18750715
44,0,21969894
45,0,16954439
46,0,5702549
47,0,13160367
48,0,21834037
49,0,8533153
50,0,11562080
51,0,69156644
52,0,10450381
53,0,21984234
54,0,15360851
55,0,6799774
56,0,3651759
57,0,27435921
58,0,20311487
59,0,7713334
60,0,16766595
61,0,13477393
62,0,12452460
63,0,2433303
64,0,4776323
65,0,14604166
66,0,7392924
67,0,17721263
68,0,9364608
69,0,8035361
70,0,14444151
71,0,15757039
72,0,2591500
73,0,31619134
74,0,4301725
75,0,7806710
76,0,6207701
77,0,27965560
78,0,6178614
79,0,6028212
80,0,1370558
81,0,96083416
82,0,4431285
83,0,3408769
84,0,6933007
85,0,6947190
86,0,10844516
87,0,2486607
88,0,4964625
89,0,13847427
90,0,3491730
91,0,1957279
92,0,4458626
93,0,4937437
94,0,2439106
95,0,1057167
96,0,1032567
97,0,4364236
98,0,7271569
99,0,3711447
100,0,3530453
101,0,1807345
102,0,2220135
103,0,3607878
104,0,31141485
105,0,4227974
106,0,2898219
107,0,1270498
108,0,12789562
109,0,2840277
110,0,3581933
111,0,5161644
112,0,941732
113,0,1511931
114,0,556719
115,0,13516471
116,0,2073560
117,0,2015114
118,0,2873100
119,0,953138
120,0,1434089
121,0,1064521
122,0,1584397
123,0,1525215
124,0,1791050
125,0,742807
126,0,1113432
127,0,1087958
128,0,593835
129,0,1644235
130,0,1304087
131,0,1056323
132,0,930365
133,0,1871960
134,0,349837
2,1,47280855
3,1,13992055
4,1,23625637
5,1,80601771
6,1,18915817
7,1,65330598
8,1,29783883
9,1,11631346
10,1,24585459
11,1,26115496
12,1,11365711
13,1,25970872
14,1,14297512
15,1,28431920
16,1,200249482
17,1,34807487
18,1,10673603
19,1,36315344
20,1,7281145
21,1,12955877
22,1,42235482
23,1,5541517
24,1,38938940
25,1,5464432
26,1,6508127
27,1,4536314
28,1,107201875
29,1,5897838
30,1,7313740
31,1,1976385
32,1,35862012
33,1,2706105
34,1,3707667
35,1,10202315
36,1,3292945
37,1,15669233
38,1,4563221
39,1,2324948
40,1,6928636
41,1,3328260
42,1,3499606
43,1,9970066
44,1,4006297
45,1,28692528
46,1,3126822
47,1,3342314
48,1,4505167
49,1,2414929
50,1,1368004
51,1,2660595
52,1,5092951
53,1,39650674
54,1,1552065
55,1,2515704
56,1,954022
57,1,1440210
58,1,2168402
59,1,1469711
60,1,2206404
61,1,1745566
62,1,1571337
63,1,1035282
64,1,2664829
65,1,1924974
66,1,1667656
67,1,3113236
68,1,1871229
69,1,1100278
70,1,872154
71,1,1363952
72,1,955052
73,1,1055560
74,1,1235317
75,1,1255265
76,1,1683522
77,1,1102370
78,1,1687049
79,1,1118657
80,1,1165367
81,1,804579
82,1,616272
83,1,1450175
84,1,22788029
85,1,1635878
86,1,764095
87,1,2344956
88,1,830936
89,1,20096178
90,1,696263
91,1,449887
92,1,1851489
93,1,527193
94,1,923080
95,1,7742870
96,1,681199
97,1,2875428
98,1,1216101
99,1,1123443
100,1,3132126
101,1,1274501
102,1,523457
103,1,3501765
104,1,5893502
105,1,611655
106,1,5636000
107,1,905492
108,1,758364
109,1,399950
110,1,608813
111,1,3035786
112,1,703688
113,1,444357
114,1,184502
115,1,592336
116,1,745487
117,1,367868
118,1,439519
119,1,171738
120,1,568228
121,1,341121
122,1,195571
123,1,2191638
124,1,387098
125,1,367616
126,1,1999002
127,1,54995792
128,1,78940
129,1,7356694
130,1,197215
131,1,238199
132,1,1341363
133,1,57690
134,1,299119
3,2,8870826
4,2,8841362
5,2,39157231
6,2,8321255
7,2,56215822
8,2,7354227
9,2,4190380
10,2,10789511
11,2,9137691
12,2,3438402
13,2,9233656
14,2,9726019
15,2,27461012
16,2,24232634
17,2,4377150
