status,gender1,gender2,age1,age2,couples
2,F,F,13,13,3222
2,F,F,13,14,3160
2,F,F,13,15,1644
2,F,F,13,16,1109
2,F,F,13,17,1121
2,F,F,13,18,1031
2,F,F,13,19,643
2,F,F,13,20,422
2,F,F,13,21,277
2,F,F,13,22,529
2,F,F,13,23,306
2,F,F,13,24,144
2,F,F,13,25,147
2,F,F,13,26,84
2,F,F,13,27,67
2,F,F,13,28,52
2,F,F,13,29,57
2,F,F,13,30,28
2,F,F,13,31,22
2,F,F,13,32,58
2,F,F,13,33,29
2,F,F,13,34,14
2,F,F,13,35,18
2,F,F,13,36,15
2,F,F,13,37,15
2,F,F,13,38,15
2,F,F,13,39,20
2,F,F,13,40,9
2,F,F,13,41,10
2,F,F,13,42,20
2,F,F,13,43,5
2,F,F,13,44,11
2,F,F,13,45,7
2,F,F,13,46,12
2,F,F,13,47,6
2,F,F,13,48,7
2,F,F,13,49,4
2,F,F,13,50,3
2,F,F,13,51,2
2,F,F,13,52,4
2,F,F,13,53,5
2,F,F,13,54,1
2,F,F,13,55,5
2,F,F,13,56,4
2,F,F,13,57,2
2,F,F,13,58,5
2,F,F,13,60,2
2,F,F,13,61,2
2,F,F,13,62,2
2,F,F,13,63,1
2,F,F,13,66,2
2,F,F,13,67,3
2,F,F,13,68,2
2,F,F,13,69,4
2,F,F,13,70,1
2,F,F,13,72,1
2,F,F,13,74,1
2,F,F,13,75,1
2,F,F,13,77,1
2,F,F,13,79,1
2,F,F,13,81,2
2,F,F,13,82,2
2,F,F,13,83,2
2,F,F,13,86,2
2,F,F,13,87,1
2,F,F,13,89,1
2,F,F,13,91,4
2,F,F,13,92,1
2,F,F,13,93,5
2,F,F,13,94,1
2,F,F,13,96,1
2,F,F,13,100,4
2,F,F,13,101,5
2,F,F,13,102,2
2,F,F,13,103,2
2,F,F,13,104,2
2,F,F,13,105,3
2,F,F,13,106,3
2,F,F,13,107,10
2,F,F,13,108,7
2,F,F,14,13,3802
2,F,F,14,14,13652
2,F,F,14,15,8711
2,F,F,14,16,4049
2,F,F,14,17,3238
2,F,F,14,18,3034
2,F,F,14,19,2055
2,F,F,14,20,1236
2,F,F,14,21,777
2,F,F,14,22,1293
2,F,F,14,23,855
2,F,F,14,24,417
2,F,F,14,25,330
2,F,F,14,26,186
2,F,F,14,27,171
2,F,F,14,28,127
2,F,F,14,29,100
2,F,F,14,30,101
2,F,F,14,31,63
2,F,F,14,32,114
2,F,F,14,33,75
2,F,F,14,34,30
2,F,F,14,35,52
2,F,F,14,36,44
2,F,F,14,37,39
2,F,F,14,38,32
2,F,F,14,39,38
2,F,F,14,40,25
2,F,F,14,41,35
2,F,F,14,42,31
2,F,F,14,43,30
2,F,F,14,44,26
2,F,F,14,45,16
2,F,F,14,46,22
2,F,F,14,47,15
2,F,F,14,48,14
2,F,F,14,49,5
2,F,F,14,50,10
2,F,F,14,51,5
2,F,F,14,52,10
2,F,F,14,53,9
2,F,F,14,54,5
2,F,F,14,55,8
2,F,F,14,56,8
2,F,F,14,57,7
2,F,F,14,58,3
2,F,F,14,59,2
2,F,F,14,60,2
2,F,F,14,61,4
2,F,F,14,62,15
2,F,F,14,63,9
2,F,F,14,64,2
2,F,F,14,65,3
2,F,F,14,66,4
2,F,F,14,67,12
2,F,F,14,68,7
2,F,F,14,69,9
2,F,F,14,70,4
2,F,F,14,71,3
2,F,F,14,72,2
2,F,F,14,73,4
2,F,F,14,74,2
2,F,F,14,75,1
2,F,F,14,77,3
2,F,F,14,78,1
2,F,F,14,79,2
2,F,F,14,80,1
2,F,F,14,81,2
2,F,F,14,82,2
2,F,F,14,83,1
2,F,F,14,84,2
2,F,F,14,85,2
2,F,F,14,86,1
2,F,F,14,87,1
2,F,F,14,88,5
2,F,F,14,89,7
2,F,F,14,90,3
2,F,F,14,91,3
2,F,F,14,92,4
2,F,F,14,93,8
2,F,F,14,94,7
2,F,F,14,95,4
2,F,F,14,96,2
2,F,F,14,97,1
2,F,F,14,98,5
2,F,F,14,99,7
2,F,F,14,100,11
