mercix,merciy,size,blankx,blanky,heartx,hearty,symbolx,symboly
1192,231,64,895,305,1116,505,716,673
695,695,57,932,223,1253,365,1572,730
1328,393,57,406,879,1011,291,1506,806
583,303,57,1882,384,848,266,1279,104
712,310,57,1280,390,1379,165,1117,752
951,181,51,114,675,1348,309,1435,442
898,675,51,600,779,1450,270,1294,831
883,409,51,1047,116,805,508,545,482
1077,726,51,1699,692,688,248,681,296
1021,404,51,1239,491,1228,156,1357,478
372,181,51,780,548,1180,707,1488,645
723,425,45,81,894,1275,243,683,389
1373,630,45,341,407,794,400,1376,847
1228,793,45,926,406,1175,560,1414,161
1490,425,45,1109,409,912,200,406,429
573,419,45,1639,786,1149,399,1516,167
1382,719,45,1950,572,1316,542,503,597
897,754,45,1499,297,1181,293,1454,351
379,320,45,405,111,584,423,568,363
1059,817,45,1383,77,1448,428,1191,870
723,178,45,885,106,604,335,824,753
1492,253,45,67,733,924,634,1444,554
923,596,45,1191,754,1033,385,1575,315
1344,204,45,1356,517,744,191,1545,404
1642,445,45,1230,587,846,712,847,170
1225,624,45,228,484,616,183,1179,210
384,415,45,183,638,769,660,644,603
937,841,45,689,440,1159,633,741,222
992,563,45,640,613,1026,549,1543,244
1302,858,45,1314,311,838,578,1239,738
693,848,45,1390,795,867,353,1262,250
565,209,45,1854,221,1288,611,1580,811
1376,798,45,1618,272,1108,285,1352,122
1489,325,45,680,243,1372,403,760,360
1061,612,45,1089,526,1021,689,1569,633
1224,719,45,1216,320,774,103,838,283
1171,335,45,595,151,990,485,844,677
755,570,45,1569,91,994,895,1461,280
1619,216,45,1585,934,1097,799,587,670
1174,403,45,799,342,695,330,1332,188
1497,175,45,1779,540,905,488,1522,559
686,780,45,793,174,945,341,425,509
439,169,40,923,693,1042,192,752,294
1000,279,40,473,305,937,707,594,550
892,330,40,872,459,535,292,1251,183
627,606,40,1771,873,675,99,1141,821
383,254,40,433,425,661,515,1456,897
1004,851,40,1677,471,867,418,868,841
1607,359,40,88,200,962,772,1465,741
1345,279,40,1326,902,1030,798,612,306
726,241,40,1909,915,1302,458,1283,911
1594,290,36,1417,663,761,566,492,427
949,411,36,1931,239,1295,123,1603,242
896,266,36,1109,236,706,467,1357,545
