titleFR,titleEN,textFR,textEN,lang,link,src
"La parit�, c'est maintenant",Gender equality now,Pr�dictions des chances des femmes d'obtenir une circonscription aux l�gislatives de 2012.,Forecast of the chances of women to get a seat in the French 2012 congress elections.,FR,http://jckr.github.io/blog/projects/elections/parite.html,parite.png
Le d�coupage de Paris,Cutting Paris,Impact du d�coupage �lectoral de Paris sur les �lections l�gislatives,Impact of the composition of the voting districts on the upcoming congress election in Paris.,FR,http://jckr.github.io/blog/projects/elections/circonscriptions.html,circonscriptions.png
Pr�dictions et l�gislatives,Forecast of congress,Pr�dictions statistiques des r�sultats des l�gislatives 2012,Forecast of the chances of each major party to win a seat in the upcoming 2012 congress elections,FR,http://jckr.github.io/blog/projects/elections/projections.html,projections.png
Analyse du r�sultat des pr�sidentielles,Analysis of the election results,Une interface pour comprendre et explorer les r�sultats de l'�lection pr�sidentielle de 2012.,An interface to understand and explore the results of the recent French presidential election,FR,http://jckr.github.io/blog/projects/elections/dtour2012.html,dtour2012.png
�toiles filantes,Shooting stars,"Participation au concours <i><a href=""http://www.informationisbeautifulawards.com/2012/02/hollywood-dataviz-challenge-interactive-shortlist/"">Challenge of the Stars</a></i>.","Entry for the <i><a href=""http://www.informationisbeautifulawards.com/2012/02/hollywood-dataviz-challenge-interactive-shortlist/"">Challenge of the Stars</a></i> contest.",EN,http://jckr.github.io/blog/stuff/stars/stars.html,shootingstars.png
Tableau public,Tableau gallery,"Une s�lection de mes travaux avec <a href=""http://public.tableausoftware.com"">Tableau Public</i>.","Selected visualizations done with <a href=""http://public.tableausoftware.com"">Tableau Public</i>.",EN,http://oecdfactblog.org/visualizations/tableaugallery,tableaugallery.png
Partages de l'Index Vivre Mieux,Sharing the Better Life Index,"Repr�sentation du nombre de partages de l'application <a href=""http://oe.cd/bli"">Index Vivre Mieux</a> sur l'ann�e �coul�e.","A representation of the social activity around the <a href=""http://oe.cd/bli"">OECD Better Life Index</a> over the past year.",EN,http://oecdfactblog.org/visualizations/BLImap/blimap.html,bli-map.png
Plan interactif du m�tro,Interactive subway map,Un plan du m�tro parisien qui se d�forme en fonction des temps de trajet,A Paris subway maps that distorts in function of actual travel timhttp://jckr.github.io/blog/r.net/projects/metro/map.html,metro.png
Meurtres en Am�rique,Gun homicides in America,Une carte anim�e de tous les homicides commis avec des armes � feu en 2010, An animated map of all the gun deaths of 201�,EN,http://jckr.github.io/blog/projects/crime/murders.html,murders.png
Pr�f�rences de l'Index Vivre Mieux,Choices of the Better Life Index,"Une visualisation synth�tique sur les choix des utilisateurs de l'<a href=""http://oe.cd/bli"">Index Vivre Mieux</a>.","A synthesis of the choices done by the users of the <a href=""http://oe.cd/bli"">OECD Better Life Index</a>.",EN,http://oecdfactblog.org/visualizations/BLImap/blicurves.html,bli-curves.png
L'environnement en 2050,Environment in 2050,"Une s�rie de visualisations autour du livre <i><a href=""http://www.oecd-ilibrary.org/fr/environment/perspectives-de-l-environnement-de-l-ocde-a-l-horizon-2050_env_outlook-2012-fr"">Perspectives de l'Environnement de l'OCDE � l'horizon 2050</a></i>","A series of visualizations to support the book <i><a href=""http://www.oecd-ilibrary.org/environment/oecd-environmental-outlook-to-2050_9789264122246-en"">OECD Environmental Outlook to 2050</a></i>",EN,http://oecdfactblog.org/visualizations/EnvOutlook2050,envoutlook.png
L'�conomie bleue,The blue economy,"Une s�rie de visualisations autour de <a href=""http://fra.expo2012.kr/is/ps/unitybbs/bbs/selectBbsDetail.html?ispsBbsId=BBS001&ispsNttId=0000000002"">l'Expo 2012 Yeosu Cor�e</a>, <i>Pour des c�tes et des oc�ans vivants</i>.","A series of visualizations around the <a href=""http://eng.expo2012.kr/main.html?mobile_at=Y"">Expo 2012 Yeosu Korea</a>, <i>The living oceans and coasts</i>.",EN,http://oecdfactblog.org/visualizations/blue,tradechord.png
Un jeu de cubes,A little block game,Un jouet pour exp�rimenter les interactions de la souris et les transformations de formes � l'�cran,A toy to explore various interactions of the mouse and transformations of shapes on screehttp://jckr.github.io/blog/r.net/stuff/littleblockgame.html,block.png
