ts,series,value
2015-09-16 21:00:00,This Week,30544
2015-09-16 22:00:00,This Week,21956.55
2015-09-16 23:00:00,This Week,15714.316666666668
2015-09-17 00:00:00,This Week,12286.216666666667
2015-09-17 01:00:00,This Week,14272.7
2015-09-17 02:00:00,This Week,21483.283333333333
2015-09-17 03:00:00,This Week,33654.98333333333
2015-09-17 04:00:00,This Week,48665.01666666667
2015-09-17 05:00:00,This Week,62756.78333333333
2015-09-17 06:00:00,This Week,68287.56666666667
2015-09-17 07:00:00,This Week,65187.333333333336
2015-09-17 08:00:00,This Week,62716.36666666667
2015-09-17 09:00:00,This Week,60874.2
2015-09-17 10:00:00,This Week,59232.61666666667
2015-09-17 11:00:00,This Week,59611.38333333333
2015-09-17 12:00:00,This Week,62892.916666666664
2015-09-17 13:00:00,This Week,68220.28333333334
2015-09-17 14:00:00,This Week,74694.66666666667
2015-09-17 15:00:00,This Week,77346.75
2015-09-17 16:00:00,This Week,73298.75
2015-09-17 17:00:00,This Week,65836.43333333333
2015-09-17 18:00:00,This Week,57586.86666666667
2015-09-17 19:00:00,This Week,48576.4
2015-09-17 20:00:00,This Week,37933.183333333334
2015-09-17 21:00:00,This Week,27284.616666666665
2015-09-17 22:00:00,This Week,18767.516666666666
2015-09-17 23:00:00,This Week,13254.966666666667
2015-09-18 00:00:00,This Week,10641.1
2015-09-18 01:00:00,This Week,13170.833333333334
2015-09-18 02:00:00,This Week,20655.433333333334
2015-09-18 03:00:00,This Week,34098.71666666667
2015-09-18 04:00:00,This Week,51026.166666666664
2015-09-18 05:00:00,This Week,67093.76666666666
2015-09-18 06:00:00,This Week,73403.46666666666
2015-09-18 07:00:00,This Week,70150.71666666666
2015-09-18 08:00:00,This Week,67958.08333333333
2015-09-18 09:00:00,This Week,65843.65
2015-09-18 10:00:00,This Week,63916.13333333333
2015-09-18 11:00:00,This Week,64331.416666666664
2015-09-18 12:00:00,This Week,67653.78333333334
2015-09-18 13:00:00,This Week,73375.25
2015-09-18 14:00:00,This Week,80740.7
2015-09-18 15:00:00,This Week,84484.05
2015-09-18 16:00:00,This Week,80992.06666666667
2015-09-18 17:00:00,This Week,74153.51666666666
2015-09-18 18:00:00,This Week,66327.21666666666
2015-09-18 19:00:00,This Week,57846.433333333334
2015-09-18 20:00:00,This Week,46540.566666666666
2015-09-18 21:00:00,This Week,33854.083333333336
2015-09-18 22:00:00,This Week,23464.883333333335
2015-09-18 23:00:00,This Week,16499.583333333332
2015-09-19 00:00:00,This Week,12485.333333333334
2015-09-19 01:00:00,This Week,14317.133333333333
2015-09-19 02:00:00,This Week,21233.066666666666
2015-09-19 03:00:00,This Week,35013.26666666667
2015-09-19 04:00:00,This Week,52349.1
2015-09-19 05:00:00,This Week,67092.61666666667
2015-09-19 06:00:00,This Week,72754.66666666667
2015-09-19 07:00:00,This Week,70657.56666666667
2015-09-19 08:00:00,This Week,69280.46666666666
2015-09-19 09:00:00,This Week,67530.26666666666
2015-09-19 10:00:00,This Week,66241.33333333333
2015-09-19 11:00:00,This Week,67423.65
2015-09-19 12:00:00,This Week,70766.81666666667
2015-09-19 13:00:00,This Week,76153.5
2015-09-19 14:00:00,This Week,82804.73333333334
2015-09-19 15:00:00,This Week,85726.25
2015-09-19 16:00:00,This Week,82780.1
2015-09-19 17:00:00,This Week,77000.5
2015-09-16 21:00:00,Previous Week,30698.916666666668
